name,canonical_name,target_type
Ch. Sir Chhotu Ram Nagar,"Ch. Sir Chhotu Ram Nagar,Haryana,India",City
Hazira,"Hazira,Gujarat,India",City
Davanagere,"Davanagere,Karnataka,India",City
Gaya,"Gaya,Bihar,India",City
Payradanga,"Payradanga,West Bengal,India",City
Patti Kalyana,"Patti Kalyana,Haryana,India",City
Bhigwan,"Bhigwan,Maharashtra,India",City
Sonepur,"Sonepur,Saran Division,Bihar,India",City
Nakrekal,"Nakrekal,Telangana,India",City
Teelawas,"Teelawas,Rajasthan,India",City
Dhampur,"Dhampur,Uttar Pradesh,India",City
Madanapalle,"Madanapalle,Andhra Pradesh,India",City
Chilakaluripet,"Chilakaluripet,Andhra Pradesh,India",City
Tandur,"Tandur,Telangana,India",City
Vattamkulam,"Vattamkulam,Kerala,India",City
Deoria,"Deoria,Uttar Pradesh,India",City
Nimgaon Mhalungi,"Nimgaon Mhalungi,Maharashtra,India",City
Mathikere,"Mathikere,Karnataka,India",City
Sarola,"Sarola,Maharashtra,India",City
Venkannaguda,"Venkannaguda,Telangana,India",City
Bhavani,"Bhavani,Tamil Nadu,India",City
Banur,"Banur,Punjab,India",City
Hulthar State Forest,"Hulthar State Forest,Karnataka,India",City
Pallichal,"Pallichal,Kerala,India",City
Achrol,"Achrol,Rajasthan,India",City
Aradi Socorro,"Aradi Socorro,Goa,India",City
Farah,"Farah,Uttar Pradesh,India",City
Sirhind,"Sirhind,Punjab,India",City
Chelari,"Chelari,Kerala,India",City
Malappuram,"Malappuram,Kerala,India",City
Chithode,"Chithode,Tamil Nadu,India",City
Firozabad,"Firozabad,Uttar Pradesh,India",City
Dungri,"Dungri,Gujarat,India",City
Moga,"Moga,Punjab,India",City
Surendranagar,"Surendranagar,Gujarat,India",City
Kota,"Kota,Uttar Pradesh,India",City
Kuna,"Kuna,Gujarat,India",City
Alamgir,"Alamgir,Gujarat,India",City
Nagaur,"Nagaur,Rajasthan,India",City
Taliparamba,"Taliparamba,Kerala,India",City
Nawalgarh,"Nawalgarh,Rajasthan,India",City
Akbarpur,"Akbarpur,Ayodhya Division,Uttar Pradesh,India",City
Diwancheruvu,"Diwancheruvu,Andhra Pradesh,India",City
Akola,"Akola,Maharashtra,India",City
Reis Magos,"Reis Magos,Goa,India",City
Ladakh,"Ladakh,India",Territory
Abhanpur,"Abhanpur,Bastar Division,Chhattisgarh,India",City
Akaltara,"Akaltara,Raipur Division,Chhattisgarh,India",City
Akaltara,"Akaltara,Bilaspur Division,Chhattisgarh,India",City
Akaltara,"Akaltara,Raipur Division,Chhattisgarh,India",City
Arang,"Arang,Chhattisgarh,India",City
Baloda,"Baloda,Raipur Division,Chhattisgarh,India",City
Baloda Bazar,"Baloda Bazar,Chhattisgarh,India",City
Balrampur,"Balrampur,Chhattisgarh,India",City
Basna,"Basna,Chhattisgarh,India",City
Bastanar,"Bastanar,Chhattisgarh,India",City
Bijapur,"Bijapur,Chhattisgarh,India",City
Bilaigarh,"Bilaigarh,Chhattisgarh,India",City
Bilha,"Bilha,Chhattisgarh,India",City
Champa,"Champa,Raipur Division,Chhattisgarh,India",City
Champa,"Champa,Bilaspur Division,Chhattisgarh,India",City
